audio_path,asr_transcript,original_text,mutated_text,index_tags,mutated_tags
data/del_audio_18881.wav, which the union can be consistent when it says it is committed to human rights is by accepting it must also bear a cost in terms of business and in economic terms,The only way in which the European Union can be consistent when it says that it is committed to human rights is by accepting that it must also bear a cost in terms of business and in economic terms.,The which the Union can be consistent when it says it is committed to human rights is by accepting it must also bear a cost in terms of business and in economic terms.,"[0, 4, 5, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38]","['O', '-', '-', '-', 'O', 'O', '-', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '-', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '-', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
data/del_audio_9285.wav,is also question of in a regarding the budget for future years,It is also a question of engaging in a dialogue regarding the budget for future years.,is also question of in a regarding the budget for future years.,"[1, 2, 4, 5, 7, 8, 10, 11, 12, 13, 14, 15]","['-', 'O', 'O', '-', 'O', 'O', '-', 'O', 'O', '-', 'O', 'O', 'O', 'O', 'O', 'O']"
data/del_audio_4487.wav,for my part what finds striking when we speak thee is that we ultimately have motorists member who are at the same behind the wheel and by the side of the road acting as,"For my part, what I find rather striking, when we speak to the citizens, is that we ultimately have motorists the Member States who are, at the same time, behind the wheel and by the side of the road acting as policemen.","For my part, what find striking, when we speak the is that we ultimately have motorists Member who are, at the same behind the wheel and by the side of the road acting as","[0, 1, 2, 3, 5, 7, 8, 9, 10, 12, 14, 15, 16, 17, 18, 19, 21, 23, 24, 25, 26, 27, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40]","['O', 'O', 'O', 'O', '-', 'O', '-', 'O', 'O', 'O', 'O', '-', 'O', '-', 'O', 'O', 'O', 'O', 'O', 'O', '-', 'O', '-', 'O', 'O', 'O', 'O', 'O', '-', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '-']"
data/del_audio_21979.wav,remains crucial notably in view of increasing demand for food due to a growing global population and patterns the challenges that change is cosing to sustainable agricultural prodr,"This remains crucial, notably in view of the increasing demand for food due to a growing global population and changing dietary patterns and the challenges and threats that climate change is posing to sustainable agricultural production.","remains crucial, notably in view of increasing demand for food due to a growing global population and patterns the challenges that change is posing to sustainable agricultural production.","[1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 21, 23, 24, 27, 29, 30, 31, 32, 33, 34, 35]","['-', 'O', 'O', 'O', 'O', 'O', 'O', '-', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '-', '-', 'O', '-', 'O', 'O', '-', '-', 'O', '-', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
data/del_audio_19541.wav,now the self sang multinational record companies get a multi million year a windfall for doing absolutely nothing because new digital there is nothing to,"Now these selfsame multinational record companies will get a multi-million-euro windfall for doing absolutely nothing because, in this new digital age, there is nothing to do.","Now these selfsame multinational record companies get a multi-million-euro windfall for doing absolutely nothing because, new digital there is nothing to","[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 18, 19, 21, 22, 23, 24]","['O', 'O', 'O', 'O', 'O', 'O', '-', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '-', '-', 'O', 'O', '-', 'O', 'O', 'O', 'O', '-']"
data/del_audio_13647.wav,inter trade agreement with turminist in vote,Interim Trade Agreement with Turkmenistan (vote),Interim Trade Agreement with Turkmenistan (vote),"[0, 1, 2, 3, 4, 5]","['O', 'O', 'O', 'O', 'O', 'O']"
data/del_audio_10269.wav,the contrary it is equally obvious that with the fear of a wave of emmigration to neighbouring countries is increasing,"On the contrary, it is equally obvious that disappointment and with it the fear of a new wave of immigration to neighbouring countries is increasing.","the contrary, it is equally obvious that with the fear of a wave of immigration to neighbouring countries is increasing.","[1, 2, 3, 4, 5, 6, 7, 10, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24]","['-', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '-', '-', 'O', '-', 'O', 'O', 'O', 'O', '-', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
data/del_audio_3457.wav,think it is good exercise,I think it is a good exercise.,think it is good exercise.,"[1, 2, 3, 5, 6]","['-', 'O', 'O', 'O', '-', 'O', 'O']"
data/del_audio_5323.wav,if they do not they should,"If they do not, they should.","If they do not, they should.","[0, 1, 2, 3, 4, 5]","['O', 'O', 'O', 'O', 'O', 'O']"
data/del_audio_11953.wav,we growth to help rehabilitate and support sector putting our ideas into practice,"We need growth to help rehabilitate and support the sector, putting our ideas into practice.","We growth to help rehabilitate and support sector, putting our ideas into practice.","[0, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14]","['O', '-', 'O', 'O', 'O', 'O', 'O', 'O', '-', 'O', 'O', 'O', 'O', 'O', 'O']"
